Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score
30.0,15,7621.0,914.0,6.0,10.0,28.0,6.0,19.0,30.0,14.0,1.0,4128.0,0.0,24.0,1.0,313.0,1.0
42.0,22,135851.0,11418.0,4.0,4.0,18.0,2.0,18.0,11.0,8.0,2.0,695.0,24.0,206.0,4.0,645.0,1.0
23.0,10,17975.0,1444.0,6.0,5.0,32.0,9.0,25.0,8.0,10.0,1.0,1263.0,11.0,76.0,5.0,270.0,0.0
42.0,17,15305.0,1230.0,,7.0,2.0,2.0,2.0,10.0,0.0,3.0,642.0,15.0,20.0,1.0,289.0,1.0
36.0,19,107118.0,9104.0,5.0,7.0,5.0,3.0,10.0,5.0,1.0,2.0,1049.0,30.0,139.0,5.0,738.0,1.0
40.0,13,17692.0,1335.0,6.0,5.0,29.0,6.0,22.0,21.0,7.0,1.0,3762.0,10.0,78.0,5.0,263.0,0.0
28.0,27,31316.0,2510.0,,2.0,6.0,2.0,7.0,5.0,1.0,3.0,800.0,17.0,30.0,3.0,279.0,2.0
40.0,17,7645.0,632.0,9.0,9.0,19.0,5.0,15.0,21.0,10.0,1.0,2869.0,0.0,17.0,3.0,299.0,0.0
41.0,17,158483.0,12927.0,2.0,1.0,6.0,3.0,3.0,9.0,4.0,3.0,471.0,28.0,347.0,6.0,874.0,2.0
24.0,19,10060.0,1103.0,3.0,9.0,17.0,6.0,14.0,9.0,12.0,2.0,1971.0,10.0,32.0,5.0,299.0,0.0
19.0,23,41695.0,3401.0,6.0,7.0,15.0,9.0,20.0,25.0,8.0,1.0,4453.0,7.0,302.0,2.0,26.0,1.0
41.0,12,76440.0,6647.0,,4.0,9.0,2.0,3.0,10.0,4.0,3.0,998.0,20.0,96.0,1.0,58.0,2.0
33.0,21,115324.0,9772.0,2.0,5.0,8.0,4.0,4.0,5.0,3.0,3.0,1316.0,23.0,199.0,5.0,731.0,2.0
23.0,20,70779.0,5861.0,,3.0,9.0,4.0,0.0,0.0,4.0,3.0,1340.0,20.0,131.0,6.0,639.0,2.0
51.0,24,93847.0,7599.0,3.0,4.0,12.0,3.0,5.0,11.0,1.0,2.0,1405.0,0.0,196.0,2.0,287.0,1.0
23.0,26,176696.0,,5.0,7.0,12.0,4.0,7.0,4.0,2.0,3.0,433.0,16.0,301.0,6.0,1234.0,2.0
22.0,4,134393.0,10944.0,1.0,3.0,12.0,2.0,2.0,11.0,1.0,3.0,945.0,25.0,136.0,4.0,515.0,2.0
49.0,21,19867.0,1396.0,3.0,5.0,11.0,3.0,9.0,6.0,4.0,3.0,707.0,32.0,42.0,2.0,326.0,1.0
24.0,15,18963.0,1794.0,4.0,8.0,29.0,6.0,10.0,13.0,9.0,2.0,2422.0,6.0,64.0,1.0,274.0,0.0
44.0,20,44134.0,3182.0,4.0,4.0,9.0,3.0,21.0,4.0,5.0,3.0,809.0,23.0,551.0,3.0,322.0,2.0
46.0,20,16319.0,1518.0,7.0,3.0,1.0,2.0,13.0,7.0,4.0,2.0,1275.0,23.0,16.0,1.0,368.0,1.0
45.0,17,31877.0,2571.0,3.0,6.0,20.0,1.0,16.0,1.0,2.0,2.0,886.0,0.0,21.0,2.0,425.0,1.0
31.0,18,30429.0,2808.0,4.0,6.0,16.0,2.0,17.0,6.0,3.0,2.0,362.0,28.0,29.0,4.0,427.0,1.0
28.0,21,92300.0,7437.0,3.0,5.0,11.0,3.0,9.0,25.0,2.0,2.0,755.0,18.0,211.0,6.0,672.0,1.0
37.0,4,63601.0,5400.0,3.0,7.0,15.0,6.0,13.0,19.0,6.0,2.0,1191.0,19.0,184.0,2.0,205.0,1.0
43.0,18,44295.0,3677.0,8.0,6.0,30.0,2.0,18.0,11.0,6.0,2.0,1280.0,12.0,65.0,5.0,509.0,1.0
25.0,27,69136.0,5902.0,3.0,4.0,14.0,0.0,21.0,7.0,3.0,2.0,478.0,17.0,0.0,5.0,651.0,1.0
21.0,16,14550.0,1392.0,7.0,10.0,25.0,9.0,20.0,23.0,6.0,1.0,4444.0,10.0,95.0,3.0,259.0,1.0
27.0,21,34819.0,2689.0,7.0,3.0,10.0,1.0,12.0,7.0,1.0,2.0,905.0,18.0,22.0,4.0,325.0,1.0
27.0,10,70099.0,6088.0,1.0,1.0,10.0,3.0,6.0,9.0,0.0,3.0,498.0,23.0,121.0,4.0,346.0,2.0
19.0,20,14527.0,964.0,3.0,3.0,4.0,4.0,5.0,6.0,1.0,3.0,321.0,19.0,41.0,1.0,254.0,2.0
34.0,23,29902.0,2230.0,6.0,3.0,12.0,3.0,10.0,9.0,0.0,2.0,533.0,19.0,66.0,1.0,273.0,1.0
48.0,18,16523.0,1516.0,1.0,4.0,1.0,4.0,6.0,10.0,4.0,3.0,455.0,0.0,52.0,5.0,327.0,2.0
53.0,16,36817.0,3198.0,5.0,4.0,5.0,3.0,6.0,9.0,2.0,3.0,1019.0,16.0,86.0,2.0,358.0,1.0
24.0,4,11731.0,828.0,8.0,3.0,6.0,2.0,12.0,7.0,1.0,2.0,289.0,18.0,15.0,4.0,276.0,1.0
42.0,27,87538.0,7139.0,2.0,4.0,3.0,0.0,6.0,4.0,2.0,3.0,41.0,24.0,0.0,6.0,780.0,2.0
34.0,26,44986.0,3689.0,5.0,4.0,11.0,1.0,4.0,10.0,0.0,3.0,753.0,19.0,23.0,4.0,386.0,2.0
23.0,19,62835.0,5464.0,,4.0,1.0,2.0,12.0,0.0,4.0,3.0,306.0,32.0,67.0,5.0,660.0,2.0
34.0,13,14867.0,1005.0,9.0,9.0,18.0,6.0,15.0,23.0,8.0,2.0,2344.0,16.0,55.0,2.0,238.0,1.0
30.0,21,38735.0,3187.0,2.0,4.0,3.0,2.0,11.0,8.0,2.0,3.0,800.0,16.0,43.0,1.0,317.0,2.0
45.0,12,18829.0,1578.0,8.0,8.0,24.0,4.0,7.0,12.0,8.0,2.0,1752.0,0.0,34.0,1.0,247.0,0.0
33.0,17,19506.0,1491.0,9.0,7.0,22.0,6.0,18.0,2.0,11.0,1.0,1594.0,14.0,59.0,2.0,292.0,0.0
15.0,24,29135.0,2138.0,10.0,7.0,21.0,9.0,25.0,8.0,7.0,1.0,1833.0,9.0,201.0,5.0,226.0,0.0
26.0,21,18743.0,1330.0,2.0,7.0,4.0,4.0,11.0,9.0,0.0,3.0,183.0,22.0,57.0,1.0,214.0,2.0
18.0,23,20143.0,1550.0,10.0,8.0,27.0,2.0,15.0,11.0,12.0,2.0,1693.0,10.0,30.0,3.0,279.0,0.0
41.0,16,33209.0,2954.0,1.0,6.0,8.0,2.0,4.0,11.0,4.0,3.0,743.0,16.0,54.0,2.0,409.0,1.0
31.0,16,128494.0,10580.0,4.0,4.0,9.0,2.0,0.0,10.0,3.0,3.0,722.0,28.0,176.0,6.0,1003.0,1.0
52.0,18,11421.0,1030.0,5.0,3.0,14.0,3.0,13.0,21.0,7.0,2.0,1278.0,29.0,20.0,3.0,290.0,1.0
47.0,19,36346.0,3188.0,8.0,6.0,11.0,3.0,21.0,10.0,4.0,3.0,1252.0,21.0,89.0,1.0,106.0,2.0
23.0,20,18231.0,1448.0,6.0,5.0,15.0,9.0,17.0,1.0,7.0,1.0,1358.0,14.0,86.0,6.0,271.0,0.0
38.0,13,30739.0,2298.0,4.0,4.0,13.0,6.0,10.0,16.0,4.0,2.0,1365.0,17.0,135.0,5.0,319.0,1.0
17.0,17,14937.0,1142.0,8.0,8.0,22.0,7.0,15.0,26.0,9.0,1.0,3699.0,13.0,50.0,2.0,242.0,1.0
50.0,19,42112.0,3511.0,5.0,6.0,9.0,4.0,8.0,3.0,0.0,,1052.0,16.0,132.0,1.0,201.0,1.0
23.0,26,64996.0,5215.0,3.0,5.0,12.0,2.0,12.0,21.0,3.0,2.0,340.0,32.0,97.0,3.0,210.0,1.0
24.0,24,28352.0,2385.0,4.0,4.0,7.0,3.0,0.0,9.0,0.0,3.0,1085.0,16.0,46.0,6.0,403.0,1.0
14.0,20,36228.0,2991.0,8.0,7.0,34.0,2.0,18.0,18.0,4.0,2.0,1643.0,18.0,47.0,1.0,320.0,0.0
31.0,16,7703.0,651.0,6.0,8.0,18.0,6.0,14.0,16.0,11.0,1.0,3044.0,0.0,32.0,2.0,259.0,0.0
32.0,19,22188.0,2006.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,1352.0,16.0,10.0,2.0,416.0,0.0
32.0,10,9529.0,688.0,9.0,8.0,26.0,3.0,18.0,7.0,7.0,1.0,1818.0,6.0,12.0,1.0,277.0,0.0
28.0,17,16861.0,1453.0,2.0,6.0,2.0,3.0,4.0,10.0,2.0,3.0,408.0,23.0,41.0,1.0,294.0,1.0
28.0,17,72503.0,5974.0,6.0,8.0,31.0,9.0,16.0,22.0,11.0,1.0,4205.0,13.0,362.0,6.0,422.0,0.0
28.0,19,34132.0,2970.0,4.0,6.0,4.0,4.0,14.0,10.0,1.0,3.0,187.0,20.0,100.0,4.0,392.0,2.0
46.0,24,38670.0,,4.0,5.0,3.0,1.0,4.0,-0.0,2.0,3.0,632.0,22.0,23.0,4.0,395.0,1.0
49.0,19,44955.0,3878.0,4.0,6.0,20.0,0.0,10.0,17.0,2.0,2.0,766.0,16.0,0.0,5.0,544.0,1.0
35.0,18,32129.0,2514.0,3.0,7.0,10.0,2.0,16.0,16.0,4.0,2.0,2554.0,13.0,34.0,5.0,410.0,0.0
21.0,18,42031.0,3762.0,2.0,1.0,8.0,3.0,3.0,8.0,1.0,3.0,83.0,16.0,66.0,1.0,288.0,2.0
36.0,16,34710.0,3170.0,6.0,3.0,20.0,7.0,10.0,14.0,10.0,,1462.0,14.0,197.0,5.0,283.0,1.0
45.0,16,99337.0,8563.0,5.0,5.0,17.0,6.0,10.0,13.0,5.0,2.0,255.0,16.0,338.0,6.0,662.0,1.0
44.0,24,49070.0,4128.0,8.0,4.0,18.0,3.0,15.0,19.0,8.0,2.0,1800.0,5.0,72.0,6.0,480.0,0.0
23.0,23,13762.0,910.0,7.0,6.0,13.0,5.0,10.0,8.0,6.0,2.0,720.0,10.0,46.0,1.0,286.0,1.0
19.0,10,12416.0,1171.0,7.0,5.0,20.0,0.0,15.0,10.0,7.0,2.0,899.0,7.0,0.0,1.0,274.0,1.0
42.0,22,15096.0,1033.0,8.0,6.0,20.0,4.0,21.0,8.0,6.0,1.0,1928.0,16.0,35.0,4.0,286.0,0.0
17.0,12,8780.0,435.0,5.0,4.0,20.0,6.0,9.0,12.0,4.0,2.0,851.0,10.0,36.0,4.0,245.0,1.0
43.0,16,10692.0,817.0,7.0,3.0,16.0,0.0,12.0,10.0,4.0,2.0,1350.0,31.0,0.0,1.0,328.0,1.0
54.0,19,33642.0,2509.0,7.0,3.0,12.0,2.0,9.0,4.0,3.0,2.0,696.0,22.0,29.0,1.0,378.0,1.0
33.0,22,60938.0,5163.0,10.0,8.0,31.0,8.0,18.0,12.0,9.0,1.0,3947.0,4.0,378.0,4.0,231.0,0.0
19.0,4,20232.0,1918.0,5.0,3.0,6.0,5.0,19.0,15.0,7.0,2.0,1104.0,8.0,48.0,1.0,246.0,1.0
31.0,10,75816.0,6291.0,6.0,9.0,22.0,5.0,24.0,27.0,9.0,1.0,2555.0,5.0,158.0,1.0,412.0,0.0
31.0,16,10455.0,729.0,6.0,5.0,12.0,3.0,21.0,8.0,0.0,3.0,83.0,23.0,25.0,4.0,284.0,2.0
46.0,18,57738.0,4881.0,9.0,8.0,30.0,9.0,24.0,20.0,11.0,1.0,3916.0,13.0,296.0,5.0,300.0,0.0
49.0,21,102080.0,8299.0,5.0,6.0,10.0,4.0,15.0,11.0,1.0,2.0,89.0,24.0,223.0,5.0,580.0,1.0
23.0,19,95933.0,7860.0,4.0,5.0,15.0,7.0,8.0,21.0,5.0,2.0,129.0,7.0,361.0,5.0,409.0,1.0
23.0,4,78094.0,6755.0,10.0,7.0,15.0,5.0,16.0,6.0,8.0,1.0,1695.0,19.0,270.0,5.0,427.0,0.0
24.0,18,18158.0,1325.0,7.0,9.0,25.0,4.0,16.0,16.0,11.0,1.0,1401.0,17.0,39.0,1.0,303.0,1.0
37.0,20,26450.0,2079.0,5.0,6.0,20.0,4.0,18.0,11.0,0.0,2.0,952.0,28.0,73.0,5.0,329.0,1.0
43.0,22,103092.0,8311.0,3.0,6.0,10.0,4.0,12.0,12.0,4.0,2.0,300.0,13.0,328.0,4.0,615.0,1.0
43.0,20,44822.0,3555.0,1.0,4.0,2.0,4.0,6.0,1.0,0.0,3.0,730.0,23.0,135.0,2.0,150.0,1.0
36.0,18,33799.0,2944.0,5.0,3.0,19.0,4.0,12.0,16.0,5.0,2.0,173.0,6.0,75.0,1.0,381.0,1.0
17.0,12,67104.0,5829.0,9.0,9.0,19.0,5.0,27.0,21.0,6.0,1.0,4635.0,1.0,265.0,5.0,491.0,1.0
28.0,22,15906.0,1350.0,9.0,10.0,21.0,8.0,24.0,27.0,6.0,1.0,3167.0,10.0,91.0,4.0,231.0,1.0
33.0,23,15717.0,1270.0,1.0,5.0,8.0,1.0,8.0,7.0,1.0,3.0,1020.0,31.0,12.0,3.0,319.0,1.0
50.0,19,97976.0,8136.0,8.0,6.0,12.0,2.0,12.0,6.0,5.0,2.0,1113.0,27.0,115.0,6.0,865.0,1.0
48.0,18,85760.0,7172.0,2.0,6.0,5.0,4.0,3.0,10.0,1.0,3.0,695.0,30.0,171.0,2.0,139.0,1.0
38.0,12,45188.0,3868.0,9.0,10.0,22.0,7.0,23.0,10.0,6.0,2.0,1960.0,14.0,154.0,4.0,289.0,0.0
29.0,27,20521.0,1721.0,9.0,7.0,17.0,3.0,9.0,9.0,7.0,2.0,1896.0,10.0,42.0,1.0,346.0,1.0
41.0,15,9795.0,586.0,7.0,8.0,29.0,6.0,18.0,4.0,12.0,1.0,2065.0,5.0,42.0,1.0,246.0,0.0
40.0,15,21384.0,1646.0,4.0,4.0,15.0,2.0,15.0,14.0,5.0,2.0,691.0,26.0,22.0,2.0,338.0,1.0
28.0,24,62320.0,5068.0,9.0,9.0,18.0,5.0,15.0,21.0,10.0,1.0,3589.0,1.0,171.0,5.0,405.0,1.0
35.0,17,31754.0,2541.0,1.0,3.0,11.0,4.0,2.0,3.0,2.0,3.0,647.0,0.0,76.0,1.0,150.0,1.0
42.0,16,46874.0,4082.0,9.0,5.0,15.0,2.0,22.0,8.0,9.0,1.0,1913.0,0.0,70.0,1.0,180.0,0.0
14.0,22,38980.0,3172.0,8.0,8.0,25.0,9.0,16.0,16.0,10.0,1.0,2927.0,3.0,167.0,5.0,307.0,1.0
41.0,24,45675.0,3635.0,8.0,5.0,28.0,4.0,16.0,10.0,8.0,2.0,1771.0,6.0,134.0,4.0,387.0,0.0
43.0,4,68898.0,5588.0,7.0,4.0,11.0,0.0,17.0,5.0,3.0,2.0,312.0,27.0,0.0,1.0,184.0,1.0
25.0,12,59237.0,4693.0,10.0,7.0,18.0,8.0,24.0,2.0,12.0,1.0,1593.0,0.0,319.0,5.0,298.0,0.0
46.0,18,87876.0,7232.0,4.0,5.0,15.0,0.0,17.0,14.0,5.0,2.0,502.0,22.0,0.0,1.0,721.0,0.0
34.0,27,26342.0,1949.0,6.0,7.0,7.0,1.0,15.0,17.0,2.0,2.0,397.0,21.0,21.0,4.0,301.0,1.0
18.0,18,128450.0,10943.0,1.0,5.0,4.0,3.0,2.0,6.0,4.0,3.0,23.0,30.0,161.0,6.0,889.0,1.0
51.0,12,106876.0,9149.0,4.0,5.0,12.0,1.0,20.0,11.0,2.0,3.0,356.0,28.0,62.0,5.0,770.0,2.0
30.0,12,79005.0,6860.0,5.0,7.0,20.0,2.0,11.0,8.0,2.0,2.0,876.0,26.0,68.0,5.0,669.0,1.0
43.0,23,9203.0,1048.0,10.0,5.0,18.0,7.0,21.0,1.0,8.0,1.0,2338.0,8.0,31.0,4.0,312.0,0.0
46.0,20,138613.0,11706.0,7.0,5.0,10.0,3.0,20.0,2.0,4.0,2.0,768.0,17.0,182.0,6.0,1079.0,1.0
45.0,17,68105.0,5636.0,8.0,8.0,19.0,5.0,24.0,22.0,12.0,1.0,2867.0,0.0,279.0,6.0,469.0,0.0
19.0,27,19858.0,1663.0,10.0,6.0,24.0,3.0,21.0,1.0,8.0,1.0,1689.0,12.0,47.0,1.0,345.0,1.0
27.0,15,35823.0,2937.0,6.0,8.0,22.0,5.0,17.0,7.0,8.0,1.0,3029.0,9.0,112.0,2.0,312.0,0.0
